,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
backiptmean,0,0.74,0.01,0.62,0,0,0.98,0.34
backiptstd,0,0.21,0,0.03,0,0,0.84,0.15
backmean,0,0.5,0.02,0.21,0,0,0.98,0.24
backvar,0.01,0.23,0.01,0.03,0,0,0.92,0.17
dist_0,0.52,0.76,0.09,0.58,0.24,0.31,0.99,0.5
dist_1,0.18,0.67,0.12,0.35,0.68,0.71,0.99,0.53
dist_10,0.03,0.37,0,0.07,0,0,0.92,0.2
dist_100,0.05,0.33,0.2,0.11,0,0,0.97,0.24
dist_101,0.1,0.48,0.06,0.08,0.14,0.18,0.95,0.28
dist_102,0.03,0.27,0.05,0.08,0.19,0.23,0.93,0.25
dist_103,0.08,0.43,0,0.24,0.1,0.11,0.96,0.27
dist_104,0.04,0.26,0.06,0.1,0.21,0.22,0.94,0.26
dist_105,0.09,0.42,0.01,0.09,0,0.07,0.96,0.23
dist_106,0.02,0.2,0,0.07,0.03,0.21,0.94,0.21
dist_107,0.04,0.24,0,0.08,0.06,0.13,0.96,0.22
dist_108,0.1,0.4,0.03,0.14,0,0.12,0.97,0.25
dist_109,0.09,0.43,0.05,0.18,0.5,0.33,0.97,0.36
dist_11,0.03,0.27,0,0.04,0,0,0.83,0.17
dist_110,0.05,0.52,0.01,0.17,0,0.06,0.98,0.26
dist_111,0.11,0.47,0.02,0.25,0.08,0.06,0.95,0.28
dist_112,0.06,0.29,0.11,0.13,0.25,0.31,0.93,0.3
dist_113,0.03,0.31,0.13,0.08,0.12,0.13,0.92,0.25
dist_114,0.06,0.29,0.09,0.13,0,0.21,0.9,0.24
dist_115,0.09,0.45,0.03,0.08,0.26,0.32,0.94,0.31
dist_116,0.08,0.41,0,0.12,0.06,0.07,0.89,0.23
dist_117,0.03,0.29,0.01,0.04,0.1,0.06,0.88,0.2
dist_118,0.03,0.39,0.08,0.11,0,0,0.91,0.22
dist_119,0.05,0.32,0.04,0.18,0.39,0.55,0.89,0.35
dist_12,0.05,0.42,0.02,0.09,0.01,0.04,0.88,0.22
dist_120,0.02,0.29,0,0.05,0.1,0.24,0.81,0.22
dist_121,0.03,0.26,0.02,0.07,0.29,0.39,0.86,0.27
dist_122,0.01,0.27,0.04,0.03,0.25,0.36,0.72,0.24
dist_123,0.05,0.25,0.01,0.05,0,0.04,0.77,0.17
dist_124,0.01,0.19,0.02,0.02,0,0,0.73,0.14
dist_125,0.04,0.19,0.02,0.08,0.11,0.12,0.86,0.2
dist_126,0.01,0.18,0.01,0.02,0,0,0.59,0.12
dist_127,0.01,0.15,0,0.02,0,0,0.79,0.14
dist_128,0.02,0.44,0.02,0.06,0,0,0.93,0.21
dist_129,0.02,0.41,0.03,0.07,0,0,0.91,0.21
dist_13,0.02,0.25,0.02,0.07,0,0,0.84,0.17
dist_130,0.01,0.21,0.05,0.02,0,0,0.76,0.15
dist_131,0.01,0.2,0.05,0.02,0,0,0.66,0.13
dist_132,0.01,0.21,0.05,0.02,0,0,0.7,0.14
dist_133,0.01,0.18,0.02,0.01,0,0,0.64,0.12
dist_134,0.01,0.2,0.01,0.02,0,0,0.73,0.14
dist_135,0.01,0.21,0.03,0.02,0,0,0.65,0.13
dist_136,0.01,0.19,0.01,0.02,0,0,0.74,0.14
dist_137,0.01,0.18,0,0.02,0,0,0.73,0.13
